OBJECTID,NAME,MUNI_TYPE,MUNITYCODE,COUNTY,GNIS_ID,FIPS_CODE,SWIS,POP1990,POP2000,POP2010,POP2020,DOS_LL,DOSLL_DATE,MAP_SYMBOL,CALC_SQ_MI,DATEMOD
53,Barker,town,2,Broome,978709,3600704429,032000,2714,2738,2732,2509,,,T,41.85546061,2017/10/10 00:00:00+00
54,Barre,town,2,Orleans,978710,3607304572,342200,2093,2124,2025,1843,,,T,55.03729657,2018/02/12 00:00:00+00
55,Barrington,town,2,Yates,978711,3612304594,572000,1195,1396,1681,1541,,,T,37.16051936,
56,Barton,town,2,Tioga,978712,3610704671,492000,8925,9066,8858,8609,,,T,59.90928216,2019/04/26 00:00:00+00
57,Batavia,city,1,Genesee,978713,3603704715,180200,16310,16256,15465,15600,,,1,5.24891414,2017/12/12 00:00:00+00
58,Batavia,town,2,Genesee,978714,3603704726,182400,6055,5915,6809,6293,,,T,48.47250898,2017/12/12 00:00:00+00
59,Bath,town,2,Steuben,978715,3610104770,462400,12724,12097,12379,11424,,,T,96.28132417,2018/03/01 00:00:00+00
60,Beacon,city,1,Dutchess,978716,3602705100,130200,13243,13808,15541,13769,,,1,4.85626465,2010/08/12 00:00:00+00
61,Bedford,town,2,Westchester,978717,3611905320,552000,16906,18133,17335,17309,,,T,39.55092445,
62,Beekman,town,2,Dutchess,978718,3602705452,132200,10447,11452,14621,14172,,,T,30.69466286,2010/08/12 00:00:00+00
63,Beekmantown,town,2,Clinton,978719,3601905485,092400,5108,5326,5545,5508,,,T,69.55189648,2018/12/07 00:00:00+00
64,Belfast,town,2,Allegany,978720,3600305573,023400,1539,1714,1663,1637,,,T,36.59406082,
65,Bellmont,town,2,Franklin,978721,3603305716,162400,1246,1423,1434,1327,,,T,166.62630062,2018/10/04 00:00:00+00
66,Bennington,town,2,Wyoming,978722,3612105936,562400,3046,3349,3359,3235,,,T,55.29539101,2017/12/12 00:00:00+00
67,Benson,town,2,Hamilton,978723,3604105958,202200,168,201,192,221,,,T,83.30885893,
68,Benton,town,2,Yates,978724,3612306002,572200,2380,2640,2836,2985,,,T,44.45024651,2018/02/08 00:00:00+00
69,Bergen,town,2,Genesee,978725,3603706057,182600,2794,3182,3120,3120,,,T,27.54662021,2017/12/22 00:00:00+00
70,Berkshire,town,2,Tioga,978726,3610706145,492200,1303,1366,1412,1480,,,T,30.4591158,2017/09/01 00:00:00+00
71,Berlin,town,2,Rensselaer,978727,3608306189,382000,1929,1901,1880,1808,,,T,59.70679308,2017/11/10 00:00:00+00
72,Berne,town,2,Albany,978728,3600106211,012000,3053,2846,2794,2689,,,T,64.61799742,2017/11/10 00:00:00+00
73,Bethany,town,2,Genesee,978729,3603706266,182800,1808,1760,1765,1780,,,T,36.08860901,2017/12/12 00:00:00+00
74,Bethel,town,2,Sullivan,978730,3610506310,482000,3693,4362,4255,3959,,,T,89.70536851,2018/11/26 00:00:00+00
