Fiscal Year Ending,Roll Year,SWIS,Municipality,Village,County,School Code,School Name,Type of Value on which Tax Rates are applied,County Tax Levy,County Tax Rate Outside Village (per $1000 value),Municipality Tax Levy,Municipal Tax Rate Outside Village (per $1000 value),School District Tax Levy,School District Tax Rate (per $1000 value),Village Tax Rate (per $1000 value)
2022,2021,33400,Kirkwood,,Broome,32601,Harpursville,Full Value,"2,998,349",6.93,"1,641,108",3.77,"148,809",15.44,
2022,2021,33400,Kirkwood,,Broome,32801,Susquehanna Valley,Full Value,"2,998,349",6.93,"1,641,108",3.77,"1,480,932",27.50,
2022,2021,33400,Kirkwood,,Broome,33001,Chenango Valley,Full Value,"2,998,349",6.93,"1,641,108",3.77,"1,264,377",27.22,
2022,2021,33400,Kirkwood,,Broome,35001,Windsor,Full Value,"2,998,349",6.93,"1,641,108",3.77,"6,507,776",19.49,
2022,2021,33600,Lisle,,Broome,34401,Whitney Point,Full Value,"775,298",6.93,"766,143",6.69,"1,773,723",19.21,
2022,2021,33600,Lisle,,Broome,113401,Marathon,Full Value,"775,298",6.93,"766,143",6.69,"325,438",14.01,
2022,2021,33800,Maine,,Broome,32001,Chenango Forks,Full Value,"1,920,106",6.93,"945,122",3.36,"104,919",23.07,
2022,2021,33800,Maine,,Broome,33801,Maine-Endwell,Full Value,"1,920,106",6.93,"945,122",3.36,"6,787,406",28.38,
2022,2021,33800,Maine,,Broome,34401,Whitney Point,Full Value,"1,920,106",6.93,"945,122",3.36,"60,278",19.21,
2022,2021,33800,Maine,,Broome,34602,Johnson City,Full Value,"1,920,106",6.93,"945,122",3.36,"985,128",27.30,
2022,2021,33800,Maine,,Broome,492602,Newark Valley,Full Value,"1,920,106",6.93,"945,122",3.36,"15,577",19.74,
2022,2021,34000,Nanticoke,,Broome,33801,Maine-Endwell,Full Value,"528,205",6.93,"281,758",3.62,"73,953",28.38,
2022,2021,34000,Nanticoke,,Broome,34401,Whitney Point,Full Value,"528,205",6.93,"281,758",3.62,"1,442,954",19.21,
2022,2021,34000,Nanticoke,,Broome,492602,Newark Valley,Full Value,"528,205",6.93,"281,758",3.62,"18,463",19.74,
